Taxon	SUL_m	SUL_f	log_SUL_m	log_SUL_f	SSD_1	SSD_2	Subfamily	Hyperoliinae	Hyperolius	Dichromatism
Afrixalus_brachycnemis	25	27	3.22	3.3	0.08	0.92	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_dorsalis_1	25.64	25.93	3.24	3.25	0.011	0.989	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_dorsalis_2	24.36	26.41	3.19	3.28	0.084	0.916	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_dorsalis_3	25.69	27.26	3.25	3.3	0.061	0.939	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_dorsimaculatus_1	23.07	25.45	3.14	3.23	0.103	0.897	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_fornasini	31	32.64	3.43	3.49	0.053	0.947	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_fulvovittatus_1	24.41	25.91	3.19	3.25	0.061	0.939	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_fulvovittatus_2	23.14	24.55	3.14	3.2	0.061	0.939	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_knysae	18	20	2.89	3	0.111	0.889	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_lacteus	21.86	27.16	3.08	3.3	0.242	0.758	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_lacustris	21.37	24.46	3.06	3.2	0.145	0.855	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_laevis	21.38	23.06	3.06	3.14	0.079	0.921	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_nigeriensis	28.05	31.69	3.33	3.46	0.13	0.87	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_osorioi	27.58	28.96	3.32	3.36	0.05	0.95	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_paradorsalis_manengubensis	24.16	27.4	3.18	3.31	0.134	0.866	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_paradorsalis_paradorsalis_1	29.95	32.35	3.4	3.48	0.08	0.92	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_paradorsalis_paradorsalis_2	28.86	31.7	3.36	3.46	0.098	0.902	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_quadrivittatus_2	25.78	25.66	3.25	3.24	-0.005	1.005	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_spinifrons	19.04	18.8	2.94	2.93	-0.013	1.013	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_sylvaticus	21	24	3.04	3.18	0.143	0.857	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_vibekensis	20.9	23.5	3.03	3.16	0.124	0.876	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_vittiger_1	26.12	28.91	3.26	3.36	0.107	0.893	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_vittiger_2	24.06	24.62	3.18	3.2	0.023	0.977	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_weidholzi	19.3	22.3	2.96	3.1	0.155	0.845	Hyperoliinae	Afrixaloids	na	Mono
Afrixalus_wittei	26.77	28.3	3.29	3.34	0.057	0.943	Hyperoliinae	Afrixaloids	na	Mono
Heterixalus_andrakata	26	30	3.26	3.4	0.154	0.846	Hyperoliinae	Afrixaloids	na	Mono
Heterixalus_betsileo	22.02	24.24	3.09	3.19	0.101	0.899	Hyperoliinae	Afrixaloids	na	Mono
Heterixalus_boettgeri	25.08	28.7	3.22	3.36	0.144	0.856	Hyperoliinae	Afrixaloids	na	Mono
Heterixalus_luteostriatus	26.5	28	3.28	3.33	0.057	0.943	Hyperoliinae	Afrixaloids	na	Mono
Heterixalus_madagascariensis	35	40	3.56	3.69	0.143	0.857	Hyperoliinae	Afrixaloids	na	Mono
Heterixalus_rutenbergi	25	25	3.22	3.22	0	1	Hyperoliinae	Afrixaloids	na	Mono
Hyperolius_adspersus	22.39	21.54	3.11	3.07	-0.039	1.039	Hyperoliinae	Hyperolioids	na	Mono
Hyperolius_balfouri_balfouri	30.64	37.42	3.42	3.62	0.221	0.779	Hyperoliinae	Hyperolioids	Clade2	Mono
Hyperolius_balfouri_viridistriatus	31.31	37.82	3.44	3.63	0.208	0.792	Hyperoliinae	Hyperolioids	Clade2	Mono
Hyperolius_baumanni	28.21	33.88	3.34	3.52	0.201	0.799	Hyperoliinae	Hyperolioids	Clade2	Mono
Hyperolius_benguellensis	19.65	23.13	2.98	3.14	0.177	0.823	Hyperoliinae	Hyperolioids	na	Mono
Hyperolius_bobirensis	33.29	45.66	3.51	3.82	0.372	0.628	Hyperoliinae	Hyperolioids	Clade2	Mono
Hyperolius_burgessi	18.99	24.26	2.94	3.19	0.278	0.722	Hyperoliinae	Hyperolioids	Clade2	Mono
Hyperolius_castaneus	23.33	27.65	3.15	3.32	0.185	0.815	Hyperoliinae	Hyperolioids	Clade2	Mono
Hyperolius_chlorosteus	35.3	35.4	3.57	3.57	0.003	0.997	Hyperoliinae	Hyperolioids	Clade2	Mono
Hyperolius_cystocandicans	25.4	29.79	3.23	3.39	0.173	0.827	Hyperoliinae	Hyperolioids	Clade2	Mono
Hyperolius_discodactylus	29.05	32.48	3.37	3.48	0.118	0.882	Hyperoliinae	Hyperolioids	Clade2	Mono
Hyperolius_frontalis	27.14	29.48	3.3	3.38	0.086	0.914	Hyperoliinae	Hyperolioids	Clade2	Mono
Hyperolius_howelli	20.6	19	3.02	2.94	-0.084	1.084	Hyperoliinae	Hyperolioids	na	Mono
Hyperolius_inyangae	20.13	21.6	3	3.07	0.073	0.927	Hyperoliinae	Hyperolioids	na	Mono
