Taxon	SUL_m	SUL_f	log_SUL_m	log_SUL_f	SSD_1	SSD_2	Subfamily	Hyperoliinae	Hyperolius	Dichromatism	Ecology	Sex
Cryptothylax_greshoffii	44.21	53.15	3.78	3.97	0.202	0.798	Hyperoliinae	Hyperolioids	na	Dichro	Arboreal	normal
Hyperolius_ademetzi	17.98	23.28	2.89	3.14	0.295	0.705	Hyperoliinae	Hyperolioids	Clade2	Dichro	Arboreal	normal
Hyperolius_adspersus	22.39	21.54	3.11	3.07	-0.039	1.039	Hyperoliinae	Hyperolioids	na	Mono	Arboreal	normal
Hyperolius_argus	32.38	31.37	3.48	3.44	-0.032	1.032	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	normal
Hyperolius_balfouri_balfouri	30.64	37.42	3.42	3.62	0.221	0.779	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_balfouri_viridistriatus	31.31	37.82	3.44	3.63	0.208	0.792	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_baumanni	28.21	33.88	3.34	3.52	0.201	0.799	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_benguellensis	19.65	23.13	2.98	3.14	0.177	0.823	Hyperoliinae	Hyperolioids	na	Mono	Arboreal	normal
Hyperolius_bobirensis	33.29	45.66	3.51	3.82	0.372	0.628	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_bolifambae	24.7	30.14	3.21	3.4	0.22	0.78	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	normal
Hyperolius_burgessi	18.99	24.26	2.94	3.19	0.278	0.722	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_camerunensis	23.41	29.19	3.15	3.37	0.247	0.753	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	normal
Hyperolius_castaneus	23.33	27.65	3.15	3.32	0.185	0.815	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_chlorosteus	35.3	35.4	3.57	3.57	0.003	0.997	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_cinereus	21	24.6	3.04	3.2	0.171	0.829	Hyperoliinae	Hyperolioids	Clade2	Dichro	Arboreal	normal
Hyperolius_cinnamomeoventris_2	22.52	27.68	3.11	3.32	0.229	0.771	Hyperoliinae	Hyperolioids	Clade2	Dichro	Arboreal	normal
Hyperolius_concolor_concolor	28.07	35.01	3.33	3.55	0.247	0.753	Hyperoliinae	Hyperolioids	Clade2	Dichro	Arboreal	normal
Hyperolius_concolor_guttatus	27.83	34.36	3.32	3.54	0.235	0.765	Hyperoliinae	Hyperolioids	Clade2	Dichro	Arboreal	normal
Hyperolius_concolor_ibadanensis	29.29	34.84	3.38	3.55	0.189	0.811	Hyperoliinae	Hyperolioids	Clade2	Dichro	Arboreal	normal
Hyperolius_cystocandicans	25.4	29.79	3.23	3.39	0.173	0.827	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_dintelmanni	31.03	32.65	3.44	3.48	0.052	0.948	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	normal
Hyperolius_discodactylus	29.05	32.48	3.37	3.48	0.118	0.882	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_endjami_2	22.1	25.2	3.1	3.23	0.14	0.86	Hyperoliinae	Hyperolioids	Clade2	Dichro	Arboreal	normal
Hyperolius_frontalis	27.14	29.48	3.3	3.38	0.086	0.914	Hyperoliinae	Hyperolioids	Clade2	Mono	Arboreal	normal
Hyperolius_fusciventris_burtoni	21.44	26.95	3.06	3.29	0.257	0.743	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	normal
Hyperolius_fusciventris_ssp	19.42	26.16	2.96	3.26	0.347	0.653	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	normal
Hyperolius_guttulatus_1	31.63	34.83	3.46	3.55	0.101	0.899	Hyperoliinae	Hyperolioids	Clade1	Dichro	Arboreal	normal
